datetime,day,hour,open,high,low,close
2025-01-24 20:00:00,2025-01-24,20,105951.0,107006.0,105673.0,105774.0
2025-01-27 20:00:00,2025-01-27,20,101043.0,101043.0,99014.0,99543.0
2025-01-26 20:00:00,2025-01-26,20,104946.0,105224.0,104890.0,105071.0
2025-01-25 20:00:00,2025-01-25,20,104914.0,105169.0,104553.0,104992.0
2025-01-30 20:00:00,2025-01-30,20,105802.0,105939.0,104794.0,105666.0
2025-01-31 20:00:00,2025-01-31,20,105480.0,105484.0,102126.0,102239.0
2025-01-29 20:00:00,2025-01-29,20,101983.0,103654.0,101447.0,103580.0
2025-02-01 20:00:00,2025-02-01,20,102080.0,102261.0,101530.0,101615.0
2025-01-28 20:00:00,2025-01-28,20,102693.0,103053.0,101883.0,102525.0
2025-02-12 20:00:00,2025-02-12,20,95539.0,97568.0,95313.0,97184.0
2025-02-11 20:00:00,2025-02-11,20,97021.0,97039.0,94899.0,95161.0
2025-02-10 20:00:00,2025-02-10,20,97252.0,97629.0,96947.0,97361.0
2025-02-07 20:00:00,2025-02-07,20,98082.0,98356.0,96988.0,97027.0
2025-02-08 20:00:00,2025-02-08,20,95837.0,96755.0,95783.0,96563.0
2025-02-09 20:00:00,2025-02-09,20,96499.0,96557.0,95929.0,96038.0
2025-02-06 20:00:00,2025-02-06,20,97233.0,97523.0,95820.0,96106.0
2025-02-05 20:00:00,2025-02-05,20,97798.0,98222.0,96574.0,97354.0
2025-02-04 20:00:00,2025-02-04,20,99503.0,100760.0,98873.0,99080.0
2025-02-03 20:00:00,2025-02-03,20,99175.0,101948.0,98228.0,101948.0
2025-02-02 20:00:00,2025-02-02,20,99307.0,99307.0,96897.0,98142.0
2025-02-13 20:00:00,2025-02-13,20,95804.0,96393.0,95410.0,95636.0
2025-02-14 20:00:00,2025-02-14,20,96961.0,98624.0,96546.0,97758.0
2025-02-16 20:00:00,2025-02-16,20,96965.0,97179.0,96777.0,97020.0
2025-02-15 20:00:00,2025-02-15,20,97641.0,97690.0,97328.0,97544.0
2025-02-17 20:00:00,2025-02-17,20,95602.0,95845.0,95243.0,95582.0
2025-02-20 20:00:00,2025-02-20,20,96876.0,98505.0,96876.0,98446.0
2025-02-19 20:00:00,2025-02-19,20,95947.0,96468.0,95613.0,96125.0
2025-02-18 20:00:00,2025-02-18,20,95429.0,95638.0,93435.0,94289.0
2025-02-21 20:00:00,2025-02-21,20,97927.0,98691.0,95240.0,95530.0
2025-02-22 20:00:00,2025-02-22,20,96583.0,96780.0,96394.0,96646.0
2025-02-12 16:00:00,2025-02-12,16,96109.0,96531.0,94120.0,95854.0
2025-02-11 16:00:00,2025-02-11,16,98146.0,98146.0,96742.0,97108.0
2025-02-10 16:00:00,2025-02-10,16,97778.0,98334.0,96882.0,97298.0
2025-02-07 16:00:00,2025-02-07,16,97760.0,100097.0,97456.0,98343.0
2025-02-09 16:00:00,2025-02-09,16,96603.0,96735.0,95867.0,96541.0
2025-02-08 16:00:00,2025-02-08,16,96205.0,96470.0,95687.0,95802.0
2025-02-02 16:00:00,2025-02-02,16,98913.0,99395.0,98201.0,99362.0
2025-02-03 16:00:00,2025-02-03,16,95185.0,99605.0,94262.0,99021.0
2025-02-04 16:00:00,2025-02-04,16,99125.0,100584.0,98720.0,99578.0
2025-02-05 16:00:00,2025-02-05,16,98305.0,98904.0,97980.0,98193.0
