datetime,day,hour,open,high,low,close
2025-01-24 20:00:00,2025-01-24,20,3384.04,3411.46,3369.01,3369.01
2025-01-27 20:00:00,2025-01-27,20,3128.27,3128.27,3056.13,3075.27
2025-01-26 20:00:00,2025-01-26,20,3313.53,3341.84,3309.99,3337.2
2025-01-25 20:00:00,2025-01-25,20,3338.09,3345.89,3332.95,3338.67
2025-01-30 20:00:00,2025-01-30,20,3261.78,3276.71,3257.49,3272.13
2025-01-31 20:00:00,2025-01-31,20,3422.19,3428.39,3300.9,3326.25
2025-01-29 20:00:00,2025-01-29,20,3100.05,3136.23,3060.54,3135.44
2025-02-01 20:00:00,2025-02-01,20,3253.6,3261.68,3196.28,3196.28
2025-01-28 20:00:00,2025-01-28,20,3178.65,3179.86,3126.24,3143.14
2025-02-12 20:00:00,2025-02-12,20,2594.79,2679.41,2591.26,2678.44
2025-02-11 20:00:00,2025-02-11,20,2661.63,2667.06,2588.33,2596.37
2025-02-10 20:00:00,2025-02-10,20,2659.83,2689.72,2653.76,2671.55
2025-02-07 20:00:00,2025-02-07,20,2716.78,2721.2,2663.38,2665.75
2025-02-08 20:00:00,2025-02-08,20,2603.04,2645.4,2596.85,2632.83
2025-02-09 20:00:00,2025-02-09,20,2651.85,2663.14,2623.79,2623.99
2025-02-06 20:00:00,2025-02-06,20,2704.11,2720.93,2686.74,2695.38
2025-02-05 20:00:00,2025-02-05,20,2761.07,2778.16,2722.7,2773.85
2025-02-04 20:00:00,2025-02-04,20,2785.64,2868.11,2779.09,2790.81
2025-02-03 20:00:00,2025-02-03,20,2709.49,2773.86,2680.38,2773.86
2025-02-02 20:00:00,2025-02-02,20,3081.24,3081.24,2910.22,2955.87
2025-02-13 20:00:00,2025-02-13,20,2642.08,2657.77,2619.67,2640.82
2025-02-14 20:00:00,2025-02-14,20,2730.72,2785.5,2719.33,2732.72
2025-02-16 20:00:00,2025-02-16,20,2696.57,2699.79,2670.39,2681.5
2025-02-15 20:00:00,2025-02-15,20,2689.82,2704.89,2681.98,2695.14
2025-02-17 20:00:00,2025-02-17,20,2755.68,2758.56,2694.83,2716.72
2025-02-20 20:00:00,2025-02-20,20,2713.41,2762.35,2712.37,2752.97
2025-02-19 20:00:00,2025-02-19,20,2697.55,2719.52,2697.55,2711.2
2025-02-18 20:00:00,2025-02-18,20,2673.73,2678.12,2612.31,2640.62
2025-02-21 20:00:00,2025-02-21,20,2714.75,2763.31,2625.09,2637.06
2025-02-22 20:00:00,2025-02-22,20,2768.95,2790.29,2761.45,2768.19
2025-02-12 16:00:00,2025-02-12,16,2626.99,2655.03,2565.92,2611.71
2025-02-11 16:00:00,2025-02-11,16,2707.89,2707.89,2639.83,2663.1
2025-02-10 16:00:00,2025-02-10,16,2656.47,2679.03,2637.98,2656.12
2025-02-07 16:00:00,2025-02-07,16,2762.39,2794.36,2727.34,2728.67
2025-02-09 16:00:00,2025-02-09,16,2656.84,2660.23,2617.91,2652.11
2025-02-08 16:00:00,2025-02-08,16,2616.08,2628.15,2595.14,2601.34
2025-02-02 16:00:00,2025-02-02,16,3064.07,3099.26,3052.08,3083.72
2025-02-03 16:00:00,2025-02-03,16,2585.89,2728.5,2549.35,2708.25
2025-02-04 16:00:00,2025-02-04,16,2764.45,2840.0,2758.77,2793.26
2025-02-05 16:00:00,2025-02-05,16,2798.32,2824.26,2769.29,2774.55
2025-02-06 16:00:00,2025-02-06,16,2807.23,2809.07,2701.56,2701.56
2025-01-26 16:00:00,2025-01-26,16,3311.76,3316.34,3300.68,3314.69
2025-01-25 16:00:00,2025-01-25,16,3306.22,3339.96,3297.14,3336.92
2025-01-27 16:00:00,2025-01-27,16,3072.83,3146.8,3057.56,3140.83
2025-01-28 16:00:00,2025-01-28,16,3187.09,3206.5,3157.71,3183.51
2025-01-29 16:00:00,2025-01-29,16,3133.28,3137.29,3088.7,3103.93
2025-01-30 16:00:00,2025-01-30,16,3222.4,3280.73,3211.07,3261.62
2025-01-31 16:00:00,2025-01-31,16,3333.93,3415.19,3329.28,3415.19
2025-02-01 16:00:00,2025-02-01,16,3249.32,3266.95,3234.93,3253.16
2025-02-15 16:00:00,2025-02-15,16,2707.85,2712.39,2685.26,2689.12
2025-02-14 16:00:00,2025-02-14,16,2685.23,2728.88,2681.62,2728.88
2025-02-13 16:00:00,2025-02-13,16,2657.16,2669.39,2628.77,2648.59
2025-02-21 16:00:00,2025-02-21,16,2791.83,2838.89,2715.46,2730.66
2025-02-22 16:00:00,2025-02-22,16,2734.75,2757.74,2723.61,2757.74
2025-02-23 16:00:00,2025-02-23,16,2797.23,2815.38,2779.77,2779.77
2025-02-16 16:00:00,2025-02-16,16,2712.04,2712.04,2683.56,2697.38
2025-02-17 16:00:00,2025-02-17,16,2754.67,2832.06,2754.67,2762.65
2025-02-20 16:00:00,2025-02-20,16,2741.61,2767.69,2719.96,2719.96
2025-02-19 16:00:00,2025-02-19,16,2727.37,2727.37,2686.42,2701.19
2025-02-18 16:00:00,2025-02-18,16,2681.13,2724.63,2670.65,2672.44
2025-02-23 12:00:00,2025-02-23,12,2825.6,2825.6,2794.24,2797.1
2025-01-27 12:00:00,2025-01-27,12,3062.14,3084.1,3036.49,3064.39
2025-01-25 12:00:00,2025-01-25,12,3290.55,3305.53,3274.73,3305.53
2025-02-22 12:00:00,2025-02-22,12,2684.42,2744.98,2679.85,2737.1
2025-02-20 12:00:00,2025-02-20,12,2730.57,2745.76,2726.2,2740.06
2025-02-21 12:00:00,2025-02-21,12,2756.13,2812.44,2752.2,2793.79
2025-02-19 12:00:00,2025-02-19,12,2708.27,2736.47,2708.27,2728.61
2025-02-18 12:00:00,2025-02-18,12,2672.29,2701.06,2660.73,2683.62
2025-02-12 12:00:00,2025-02-12,12,2626.8,2633.76,2613.26,2625.34
2025-02-15 12:00:00,2025-02-15,12,2700.37,2712.36,2697.67,2709.07
2025-02-14 12:00:00,2025-02-14,12,2701.08,2715.61,2685.36,2686.39
2025-02-13 12:00:00,2025-02-13,12,2682.17,2684.9,2658.59,2658.59
2025-02-16 12:00:00,2025-02-16,12,2693.23,2710.49,2692.54,2710.49
2025-02-17 12:00:00,2025-02-17,12,2684.17,2766.3,2678.73,2752.32
2025-02-11 12:00:00,2025-02-11,12,2713.03,2717.44,2695.68,2707.57
2025-02-10 12:00:00,2025-02-10,12,2638.75,2659.35,2638.75,2655.41
2025-02-07 12:00:00,2025-02-07,12,2715.05,2758.6,2712.57,2758.6
2025-02-08 12:00:00,2025-02-08,12,2629.47,2629.47,2605.27,2609.23
2025-02-09 12:00:00,2025-02-09,12,2664.88,2672.33,2653.63,2659.62
2025-01-30 12:00:00,2025-01-30,12,3193.4,3225.54,3182.74,3225.54
2025-01-31 12:00:00,2025-01-31,12,3243.1,3328.61,3235.47,3328.0
2025-02-01 12:00:00,2025-02-01,12,3281.61,3282.96,3235.56,3247.13
2025-01-29 12:00:00,2025-01-29,12,3155.49,3161.97,3123.81,3135.59
2025-01-28 12:00:00,2025-01-28,12,3197.03,3202.74,3182.97,3186.6
2025-01-26 12:00:00,2025-01-26,12,3337.82,3341.62,3298.46,3310.47
2025-02-05 12:00:00,2025-02-05,12,2762.79,2805.4,2752.36,2803.27
2025-02-03 12:00:00,2025-02-03,12,2618.35,2618.35,2541.34,2586.04
2025-02-06 12:00:00,2025-02-06,12,2834.06,2854.63,2800.73,2814.54
2025-02-04 12:00:00,2025-02-04,12,2701.44,2786.74,2689.22,2768.7
2025-02-02 12:00:00,2025-02-02,12,3096.31,3115.47,3058.75,3065.67
2025-02-22 08:00:00,2025-02-22,8,2674.38,2694.02,2674.38,2685.33
2025-02-13 08:00:00,2025-02-13,8,2743.01,2743.01,2680.18,2685.38
2025-02-16 08:00:00,2025-02-16,8,2697.91,2717.5,2695.09,2695.09
2025-02-15 08:00:00,2025-02-15,8,2725.97,2731.53,2698.24,2702.88
2025-02-14 08:00:00,2025-02-14,8,2716.09,2716.09,2691.38,2701.02
2025-02-21 08:00:00,2025-02-21,8,2744.83,2766.62,2744.83,2756.2
2025-02-20 08:00:00,2025-02-20,8,2743.23,2753.46,2725.59,2732.42
2025-02-19 08:00:00,2025-02-19,8,2690.89,2711.66,2667.82,2710.64
2025-02-17 08:00:00,2025-02-17,8,2672.22,2689.4,2653.34,2680.83
2025-02-23 08:00:00,2025-02-23,8,2751.76,2822.58,2749.24,2822.58
2025-02-10 08:00:00,2025-02-10,8,2628.96,2652.92,2625.12,2638.82
2025-02-05 08:00:00,2025-02-05,8,2723.48,2769.12,2713.98,2769.12
2025-01-28 08:00:00,2025-01-28,8,3206.25,3221.19,3192.57,3193.31
2025-01-29 08:00:00,2025-01-29,8,3126.38,3155.59,3117.96,3155.59
2025-01-31 08:00:00,2025-01-31,8,3231.88,3273.6,3215.82,3240.6
2025-01-30 08:00:00,2025-01-30,8,3197.91,3207.85,3181.77,3185.49
2025-01-25 08:00:00,2025-01-25,8,3321.62,3321.62,3287.48,3292.43
2025-01-27 08:00:00,2025-01-27,8,3178.28,3178.28,3038.25,3080.63
2025-01-26 08:00:00,2025-01-26,8,3339.29,3357.4,3335.4,3336.58
2025-02-02 08:00:00,2025-02-02,8,3074.39,3131.75,3074.39,3096.72
2025-02-01 08:00:00,2025-02-01,8,3292.71,3305.51,3282.03,3282.03
2025-02-09 08:00:00,2025-02-09,8,2680.11,2680.11,2652.35,2664.81
2025-02-12 08:00:00,2025-02-12,8,2590.4,2620.48,2584.72,2615.18
2025-02-11 08:00:00,2025-02-11,8,2679.12,2721.66,2678.57,2714.15
2025-02-08 08:00:00,2025-02-08,8,2642.91,2646.67,2604.17,2631.29
2025-02-18 08:00:00,2025-02-18,8,2711.62,2715.31,2658.75,2671.48
2025-02-04 08:00:00,2025-02-04,8,2811.37,2830.68,2677.89,2695.4
2025-02-03 08:00:00,2025-02-03,8,2529.69,2609.33,2460.55,2609.33
2025-02-06 08:00:00,2025-02-06,8,2807.87,2849.94,2807.87,2835.01
2025-02-07 08:00:00,2025-02-07,8,2718.7,2729.29,2678.21,2715.82
2025-02-23 04:00:00,2025-02-23,4,2762.97,2772.81,2748.45,2751.22
2025-02-22 04:00:00,2025-02-22,4,2655.11,2685.12,2655.11,2674.26
2025-02-17 04:00:00,2025-02-17,4,2661.15,2682.13,2661.15,2671.36
2025-02-18 04:00:00,2025-02-18,4,2743.35,2749.95,2711.98,2711.98
2025-02-15 04:00:00,2025-02-15,4,2725.89,2737.02,2711.26,2727.05
2025-01-29 04:00:00,2025-01-29,4,3077.92,3124.06,3077.92,3124.06
2025-01-28 04:00:00,2025-01-28,4,3179.89,3216.95,3154.19,3215.29
2025-01-26 04:00:00,2025-01-26,4,3317.75,3343.01,3315.27,3339.32
2025-01-30 04:00:00,2025-01-30,4,3112.97,3188.21,3096.85,3188.21
2025-01-31 04:00:00,2025-01-31,4,3246.12,3276.22,3226.34,3233.08
2025-02-01 04:00:00,2025-02-01,4,3298.53,3327.42,3286.59,3287.12
2025-02-02 04:00:00,2025-02-02,4,3119.95,3157.56,3080.48,3084.47
2025-01-27 04:00:00,2025-01-27,4,3236.67,3249.69,3169.3,3177.72
2025-01-25 04:00:00,2025-01-25,4,3311.55,3318.85,3275.95,3317.9
2025-02-21 04:00:00,2025-02-21,4,2739.73,2748.23,2729.27,2741.39
2025-02-20 04:00:00,2025-02-20,4,2716.35,2747.64,2713.26,2744.51
2025-02-19 04:00:00,2025-02-19,4,2671.69,2696.39,2656.53,2691.87
2025-02-16 04:00:00,2025-02-16,4,2693.5,2703.03,2690.48,2697.11
2025-02-03 04:00:00,2025-02-03,4,2866.25,2866.25,2368.28,2532.55
2025-02-04 04:00:00,2025-02-04,4,2880.28,2885.26,2800.52,2805.59
2025-02-07 04:00:00,2025-02-07,4,2687.81,2731.49,2685.55,2713.35
2025-02-06 04:00:00,2025-02-06,4,2789.62,2819.01,2761.81,2810.46
2025-02-05 04:00:00,2025-02-05,4,2734.76,2754.0,2708.28,2725.35
2025-02-08 04:00:00,2025-02-08,4,2620.57,2660.07,2620.57,2642.17
2025-02-10 04:00:00,2025-02-10,4,2630.44,2650.33,2573.28,2630.08
2025-02-09 04:00:00,2025-02-09,4,2632.81,2683.22,2630.31,2681.21
2025-02-11 04:00:00,2025-02-11,4,2661.99,2711.06,2661.99,2676.23
2025-02-12 04:00:00,2025-02-12,4,2602.92,2619.16,2583.1,2589.5
2025-02-13 04:00:00,2025-02-13,4,2737.2,2754.38,2720.96,2744.2
2025-02-14 04:00:00,2025-02-14,4,2676.72,2718.98,2668.56,2718.98
2025-02-02 00:00:00,2025-02-02,0,3194.48,3194.48,3114.86,3125.04
2025-01-30 00:00:00,2025-01-30,0,3132.06,3164.9,3101.21,3114.44
2025-01-29 00:00:00,2025-01-29,0,3144.31,3150.37,3050.64,3076.49
2025-01-26 00:00:00,2025-01-26,0,3340.11,3347.59,3320.13,3320.13
2025-01-27 00:00:00,2025-01-27,0,3337.47,3341.53,3232.28,3232.28
2025-01-28 00:00:00,2025-01-28,0,3074.89,3212.91,3074.89,3173.53
2025-01-25 00:00:00,2025-01-25,0,3369.81,3374.91,3308.04,3311.85
2025-02-01 00:00:00,2025-02-01,0,3335.1,3335.1,3285.0,3296.39
2025-01-31 00:00:00,2025-01-31,0,3273.94,3273.94,3232.48,3248.25
2025-02-03 00:00:00,2025-02-03,0,2958.21,2978.77,2810.13,2862.7
2025-02-05 00:00:00,2025-02-05,0,2781.44,2784.6,2633.94,2740.38
2025-02-04 00:00:00,2025-02-04,0,2770.8,2898.88,2706.92,2877.81
2025-02-06 00:00:00,2025-02-06,0,2776.52,2791.45,2748.96,2790.55
2025-02-07 00:00:00,2025-02-07,0,2692.25,2719.15,2672.5,2686.66
2025-02-13 00:00:00,2025-02-13,0,2675.14,2782.27,2672.21,2736.27
2025-02-12 00:00:00,2025-02-12,0,2589.77,2631.27,2589.77,2603.03
2025-02-11 00:00:00,2025-02-11,0,2672.26,2682.85,2654.88,2660.3
2025-02-10 00:00:00,2025-02-10,0,2625.53,2645.46,2541.3,2632.54
2025-02-09 00:00:00,2025-02-09,0,2637.74,2644.53,2628.75,2635.6
2025-02-08 00:00:00,2025-02-08,0,2657.99,2657.99,2572.32,2623.45
2025-02-14 00:00:00,2025-02-14,0,2641.03,2677.51,2641.03,2675.71
2025-02-15 00:00:00,2025-02-15,0,2737.95,2747.69,2714.51,2724.67
2025-02-18 00:00:00,2025-02-18,0,2717.36,2771.95,2717.36,2741.91
2025-02-17 00:00:00,2025-02-17,0,2682.36,2686.7,2659.0,2659.9
2025-02-16 00:00:00,2025-02-16,0,2693.43,2703.24,2682.41,2692.82
2025-02-19 00:00:00,2025-02-19,0,2631.17,2669.49,2621.42,2669.49
2025-02-21 00:00:00,2025-02-21,0,2749.0,2760.84,2726.36,2741.59
2025-02-20 00:00:00,2025-02-20,0,2711.48,2728.83,2710.41,2714.8
2025-02-22 00:00:00,2025-02-22,0,2633.71,2660.69,2622.49,2658.35
2025-02-23 00:00:00,2025-02-23,0,2769.28,2774.7,2764.36,2764.36
