datetime,day,hour,open,high,low,close
2025-01-24 20:00:00,2025-01-24,20,262.41,265.63,261.25,261.37
2025-01-27 20:00:00,2025-01-27,20,233.31,234.86,224.86,226.31
2025-01-26 20:00:00,2025-01-26,20,254.76,257.27,254.33,256.26
2025-01-25 20:00:00,2025-01-25,20,253.62,260.22,253.48,258.18
2025-01-30 20:00:00,2025-01-30,20,241.64,242.9,239.68,240.53
2025-01-31 20:00:00,2025-01-31,20,240.02,240.02,229.78,230.46
2025-01-29 20:00:00,2025-01-29,20,228.31,233.85,223.64,233.28
2025-02-01 20:00:00,2025-02-01,20,226.34,227.28,221.57,221.65
2025-01-28 20:00:00,2025-01-28,20,236.94,236.94,230.61,232.17
2025-02-12 20:00:00,2025-02-12,20,191.08,196.38,190.06,193.51
2025-02-11 20:00:00,2025-02-11,20,199.79,199.88,195.45,195.67
2025-02-10 20:00:00,2025-02-10,20,203.16,203.71,201.25,201.3
2025-02-07 20:00:00,2025-02-07,20,197.53,198.81,194.72,196.05
2025-02-08 20:00:00,2025-02-08,20,193.41,198.23,193.41,196.9
2025-02-09 20:00:00,2025-02-09,20,200.66,202.27,198.86,198.86
2025-02-06 20:00:00,2025-02-06,20,191.73,192.34,189.33,190.04
2025-02-05 20:00:00,2025-02-05,20,201.71,201.71,196.58,199.49
2025-02-04 20:00:00,2025-02-04,20,215.7,218.21,211.94,211.94
2025-02-03 20:00:00,2025-02-03,20,207.22,214.79,205.79,214.71
2025-02-02 20:00:00,2025-02-02,20,211.99,211.99,196.8,203.49
2025-02-13 20:00:00,2025-02-13,20,191.65,194.25,190.2,192.53
2025-02-14 20:00:00,2025-02-14,20,200.44,205.11,199.46,201.31
2025-02-16 20:00:00,2025-02-16,20,190.38,191.06,188.3,189.07
2025-02-15 20:00:00,2025-02-15,20,194.52,194.99,193.56,194.22
2025-02-17 20:00:00,2025-02-17,20,180.05,180.83,175.35,177.33
2025-02-20 20:00:00,2025-02-20,20,171.62,175.29,171.53,174.78
2025-02-19 20:00:00,2025-02-19,20,169.71,172.71,168.73,168.74
2025-02-18 20:00:00,2025-02-18,20,166.11,166.62,161.66,165.16
2025-02-21 20:00:00,2025-02-21,20,172.86,175.07,168.43,168.77
2025-02-22 20:00:00,2025-02-22,20,173.89,174.15,172.71,172.71
2025-02-12 16:00:00,2025-02-12,16,197.07,198.22,190.01,192.7
2025-02-11 16:00:00,2025-02-11,16,203.17,203.17,198.42,200.16
2025-02-10 16:00:00,2025-02-10,16,204.77,208.4,202.21,203.14
2025-02-07 16:00:00,2025-02-07,16,198.45,202.86,196.7,197.91
2025-02-09 16:00:00,2025-02-09,16,201.74,202.44,197.23,200.68
2025-02-08 16:00:00,2025-02-08,16,194.42,195.95,192.93,193.33
2025-02-02 16:00:00,2025-02-02,16,208.98,213.94,208.72,212.12
2025-02-03 16:00:00,2025-02-03,16,199.0,209.52,191.4,207.46
2025-02-04 16:00:00,2025-02-04,16,208.31,216.01,208.31,216.01
2025-02-05 16:00:00,2025-02-05,16,206.67,207.2,202.84,202.84
2025-02-06 16:00:00,2025-02-06,16,200.31,200.57,191.54,191.54
2025-01-26 16:00:00,2025-01-26,16,255.36,257.07,253.99,255.17
2025-01-25 16:00:00,2025-01-25,16,249.82,253.79,248.62,253.36
2025-01-27 16:00:00,2025-01-27,16,227.38,236.39,224.52,234.57
2025-01-28 16:00:00,2025-01-28,16,238.23,239.29,234.32,236.95
2025-01-29 16:00:00,2025-01-29,16,231.84,231.86,226.32,228.51
2025-01-30 16:00:00,2025-01-30,16,241.49,243.91,239.51,242.28
2025-01-31 16:00:00,2025-01-31,16,238.53,241.55,236.84,240.82
2025-02-01 16:00:00,2025-02-01,16,227.67,229.15,225.75,226.43
2025-02-15 16:00:00,2025-02-15,16,194.79,195.94,193.65,194.32
2025-02-14 16:00:00,2025-02-14,16,199.42,200.05,196.81,200.05
2025-02-13 16:00:00,2025-02-13,16,191.74,192.95,189.49,191.99
2025-02-21 16:00:00,2025-02-21,16,177.28,180.28,171.83,173.39
2025-02-22 16:00:00,2025-02-22,16,173.67,174.27,172.81,173.69
2025-02-23 16:00:00,2025-02-23,16,169.79,169.84,166.89,166.89
2025-02-16 16:00:00,2025-02-16,16,193.61,193.61,189.97,190.5
2025-02-17 16:00:00,2025-02-17,16,184.25,186.51,180.27,180.27
2025-02-20 16:00:00,2025-02-20,16,174.07,175.99,171.81,171.81
2025-02-19 16:00:00,2025-02-19,16,173.96,173.96,168.51,170.15
2025-02-18 16:00:00,2025-02-18,16,168.58,170.86,165.27,165.65
2025-02-23 12:00:00,2025-02-23,12,172.92,172.92,169.91,169.91
2025-01-27 12:00:00,2025-01-27,12,226.42,227.59,221.95,226.47
2025-01-25 12:00:00,2025-01-25,12,247.02,250.22,246.81,250.22
2025-02-22 12:00:00,2025-02-22,12,171.8,173.84,171.59,173.67
2025-02-20 12:00:00,2025-02-20,12,171.66,174.37,171.37,174.01
2025-02-21 12:00:00,2025-02-21,12,175.77,180.19,175.77,177.31
2025-02-19 12:00:00,2025-02-19,12,169.06,174.01,168.74,174.01
2025-02-18 12:00:00,2025-02-18,12,166.1,169.71,164.22,168.34
2025-02-12 12:00:00,2025-02-12,12,195.69,197.54,195.44,196.89
2025-02-15 12:00:00,2025-02-15,12,196.13,196.59,194.23,194.92
2025-02-14 12:00:00,2025-02-14,12,196.85,201.12,196.46,199.52
2025-02-13 12:00:00,2025-02-13,12,193.12,193.36,191.55,191.56
2025-02-16 12:00:00,2025-02-16,12,192.97,193.75,192.57,193.42
2025-02-17 12:00:00,2025-02-17,12,181.62,185.03,181.19,184.2
2025-02-11 12:00:00,2025-02-11,12,204.56,205.54,201.5,203.1
2025-02-10 12:00:00,2025-02-10,12,203.17,205.61,203.17,204.71
2025-02-07 12:00:00,2025-02-07,12,192.5,198.3,192.44,198.17
2025-02-08 12:00:00,2025-02-08,12,192.74,194.64,191.83,193.84
2025-02-09 12:00:00,2025-02-09,12,204.26,204.63,201.57,202.06
2025-01-30 12:00:00,2025-01-30,12,238.33,241.58,238.24,241.58
2025-01-31 12:00:00,2025-01-31,12,235.98,238.34,234.53,238.19
2025-02-01 12:00:00,2025-02-01,12,230.57,230.66,227.08,227.59
2025-01-29 12:00:00,2025-01-29,12,234.28,235.12,230.51,231.97
2025-01-28 12:00:00,2025-01-28,12,239.09,239.09,236.45,238.13
2025-01-26 12:00:00,2025-01-26,12,258.72,258.72,253.35,254.94
2025-02-05 12:00:00,2025-02-05,12,205.24,206.5,203.38,206.5
2025-02-03 12:00:00,2025-02-03,12,199.46,201.52,194.07,198.74
2025-02-06 12:00:00,2025-02-06,12,202.27,202.77,199.25,200.76
2025-02-04 12:00:00,2025-02-04,12,204.74,210.53,203.4,208.93
2025-02-02 12:00:00,2025-02-02,12,211.51,215.0,208.65,209.26
2025-02-22 08:00:00,2025-02-22,8,170.32,172.36,170.32,171.82
2025-02-13 08:00:00,2025-02-13,8,197.8,197.8,193.25,193.68
2025-02-16 08:00:00,2025-02-16,8,194.49,195.9,193.29,193.38
2025-02-15 08:00:00,2025-02-15,8,198.52,198.68,195.46,196.27
2025-02-14 08:00:00,2025-02-14,8,197.17,197.17,194.96,196.81
2025-02-21 08:00:00,2025-02-21,8,173.5,176.32,173.5,175.75
2025-02-20 08:00:00,2025-02-20,8,172.37,174.06,171.13,171.96
2025-02-19 08:00:00,2025-02-19,8,167.43,169.43,163.99,169.43
2025-02-17 08:00:00,2025-02-17,8,186.55,186.55,181.06,181.31
2025-02-23 08:00:00,2025-02-23,8,170.52,172.95,170.09,172.87
2025-02-10 08:00:00,2025-02-10,8,202.26,204.16,200.82,203.31
2025-02-05 08:00:00,2025-02-05,8,207.33,207.41,203.85,205.49
2025-01-28 08:00:00,2025-01-28,8,237.02,243.2,237.02,239.01
2025-01-29 08:00:00,2025-01-29,8,231.13,234.29,230.1,234.29
2025-01-31 08:00:00,2025-01-31,8,236.06,238.49,235.38,235.88
2025-01-30 08:00:00,2025-01-30,8,239.97,241.65,237.37,237.78
2025-01-25 08:00:00,2025-01-25,8,252.76,252.76,246.9,247.11
2025-01-27 08:00:00,2025-01-27,8,235.17,235.17,223.43,228.15
2025-01-26 08:00:00,2025-01-26,8,258.21,259.52,257.68,258.56
2025-02-02 08:00:00,2025-02-02,8,208.71,213.38,208.38,211.8
2025-02-01 08:00:00,2025-02-01,8,231.44,232.86,230.29,230.32
2025-02-09 08:00:00,2025-02-09,8,206.16,207.06,204.21,204.22
2025-02-12 08:00:00,2025-02-12,8,194.64,195.98,193.71,195.04
2025-02-11 08:00:00,2025-02-11,8,201.36,205.73,201.36,204.61
2025-02-08 08:00:00,2025-02-08,8,193.14,193.14,189.95,192.69
2025-02-18 08:00:00,2025-02-18,8,177.94,177.94,164.88,165.97
2025-02-04 08:00:00,2025-02-04,8,215.25,215.66,203.57,204.78
2025-02-03 08:00:00,2025-02-03,8,197.98,199.64,190.96,199.54
2025-02-06 08:00:00,2025-02-06,8,200.83,203.82,200.61,202.29
2025-02-07 08:00:00,2025-02-07,8,193.75,195.07,189.97,192.51
2025-02-23 04:00:00,2025-02-23,4,172.13,172.16,170.44,170.52
2025-02-22 04:00:00,2025-02-22,4,168.27,172.18,168.27,170.4
2025-02-17 04:00:00,2025-02-17,4,188.26,189.42,186.13,186.54
2025-02-18 04:00:00,2025-02-18,4,177.69,178.79,175.84,177.95
2025-02-15 04:00:00,2025-02-15,4,199.71,200.08,197.07,198.61
2025-01-29 04:00:00,2025-01-29,4,227.04,231.54,227.04,231.33
2025-01-28 04:00:00,2025-01-28,4,235.19,237.69,233.73,237.69
2025-01-26 04:00:00,2025-01-26,4,256.27,258.72,253.97,258.27
2025-01-30 04:00:00,2025-01-30,4,228.31,240.34,227.09,240.34
2025-01-31 04:00:00,2025-01-31,4,238.82,238.97,235.29,236.19
2025-02-01 04:00:00,2025-02-01,4,231.6,233.83,230.91,231.18
2025-02-02 04:00:00,2025-02-02,4,213.7,218.19,209.7,209.7
2025-01-27 04:00:00,2025-01-27,4,240.88,242.2,233.78,235.05
2025-01-25 04:00:00,2025-01-25,4,253.58,253.58,248.48,252.32
2025-02-21 04:00:00,2025-02-21,4,176.07,176.32,173.36,173.45
2025-02-20 04:00:00,2025-02-20,4,169.26,172.29,168.16,172.29
2025-02-19 04:00:00,2025-02-19,4,169.31,170.0,167.43,167.53
2025-02-16 04:00:00,2025-02-16,4,194.63,195.25,193.3,194.28
2025-02-03 04:00:00,2025-02-03,4,202.95,202.95,183.18,197.55
2025-02-04 04:00:00,2025-02-04,4,216.2,219.3,214.75,215.02
2025-02-07 04:00:00,2025-02-07,4,189.52,195.41,189.52,193.32
2025-02-06 04:00:00,2025-02-06,4,196.13,201.24,196.13,200.74
2025-02-05 04:00:00,2025-02-05,4,206.96,208.73,205.53,207.28
2025-02-08 04:00:00,2025-02-08,4,191.86,194.13,191.86,193.11
2025-02-10 04:00:00,2025-02-10,4,200.53,204.29,196.74,202.7
2025-02-09 04:00:00,2025-02-09,4,199.5,205.78,198.95,205.78
2025-02-11 04:00:00,2025-02-11,4,200.27,204.19,200.21,201.13
2025-02-12 04:00:00,2025-02-12,4,198.02,198.29,194.24,194.52
2025-02-13 04:00:00,2025-02-13,4,196.58,197.92,195.38,197.92
2025-02-14 04:00:00,2025-02-14,4,194.5,197.24,194.41,197.24
2025-02-02 00:00:00,2025-02-02,0,221.84,221.84,213.97,214.46
2025-01-30 00:00:00,2025-01-30,0,232.36,237.23,228.61,228.61
2025-01-29 00:00:00,2025-01-29,0,231.89,232.11,225.21,226.89
2025-01-26 00:00:00,2025-01-26,0,258.54,259.24,257.07,257.07
2025-01-27 00:00:00,2025-01-27,0,256.24,256.31,241.07,241.07
2025-01-28 00:00:00,2025-01-28,0,226.48,237.14,226.48,234.98
2025-01-25 00:00:00,2025-01-25,0,261.77,261.97,253.48,253.63
2025-02-01 00:00:00,2025-02-01,0,230.59,231.51,228.63,231.51
2025-01-31 00:00:00,2025-01-31,0,241.11,241.39,238.41,239.05
2025-02-03 00:00:00,2025-02-03,0,203.52,205.74,198.6,202.32
2025-02-05 00:00:00,2025-02-05,0,209.97,209.97,202.41,207.42
2025-02-04 00:00:00,2025-02-04,0,215.21,218.45,211.02,215.95
2025-02-06 00:00:00,2025-02-06,0,199.58,200.34,195.41,196.22
2025-02-07 00:00:00,2025-02-07,0,189.87,193.72,188.37,189.39
2025-02-13 00:00:00,2025-02-13,0,193.65,198.18,193.25,196.6
2025-02-12 00:00:00,2025-02-12,0,195.53,199.35,195.53,197.93
2025-02-11 00:00:00,2025-02-11,0,201.39,202.35,199.57,200.05
2025-02-10 00:00:00,2025-02-10,0,199.1,200.73,194.21,200.45
2025-02-09 00:00:00,2025-02-09,0,197.15,200.46,196.85,199.71
2025-02-08 00:00:00,2025-02-08,0,195.56,195.56,188.54,192.27
2025-02-14 00:00:00,2025-02-14,0,192.67,195.28,192.67,194.26
2025-02-15 00:00:00,2025-02-15,0,201.62,202.05,198.74,199.65
2025-02-18 00:00:00,2025-02-18,0,177.23,180.92,177.23,177.92
2025-02-17 00:00:00,2025-02-17,0,189.18,189.44,187.18,188.17
2025-02-16 00:00:00,2025-02-16,0,194.29,194.91,193.06,194.43
2025-02-19 00:00:00,2025-02-19,0,165.16,169.32,164.22,169.11
2025-02-21 00:00:00,2025-02-21,0,174.87,176.1,173.47,176.02
2025-02-20 00:00:00,2025-02-20,0,168.65,169.48,166.89,169.26
2025-02-22 00:00:00,2025-02-22,0,168.46,169.62,167.37,169.0
2025-02-23 00:00:00,2025-02-23,0,172.65,173.36,171.96,172.21
